2024-10-10 10:39:59.620491,190,1329.00,CH01
2024-10-12 22:19:05.019309,37,361.00,CH01
2024-10-13 01:13:54.187522,8,118.00,CH01
2024-10-13 17:39:43.198724,31,334.50,CH01
2024-10-15 11:09:01.196147,56,620.50,CA01
2024-10-15 11:10:33.222245,56,620.50,CA01
2024-10-15 13:57:09.756460,56,620.50,CH01
2024-10-15 20:16:17.124814,56,620.50,CA01
2024-10-15 20:49:43.005603,56,620.50,CA01
2024-10-17 13:31:33.829948,18,195.50,CA01
2024-10-17 15:01:00.150713,6,50.00,CA01
2024-10-19 14:28:17.813142,24,200.25,CA01
2024-10-20 00:04:49.404488,27,209.25,CA01
2024-10-25 16:31:13.508041,73,651.25,CA01
2024-10-25 20:20:19.054166,73,651.25,CA01
2024-11-01 20:33:56.845043,29,357.75,CA02
